Item_Name,Year,Week,Date,Predicted_Orders,Category
Aloo Chaat,2019,32,2019-08-05,3.5486666666666675,Starter / Snack
Aloo Gobi,2019,32,2019-08-05,6.84,Other
Aloo Methi,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Baingan Hari Mirch,2019,32,2019-08-05,2.5882338494838497,Main - Curry
Bengal Fish Biryani,2019,32,2019-08-05,1.8553433505153496,Main - Biryani
Bengal Fish Karahi,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Bengal Fry Fish,2019,32,2019-08-05,1.8553433505153496,Other
Bengal King Prawn,2019,32,2019-08-05,1.5780016650016648,Other
Bengal Salad,2019,32,2019-08-05,1.8553433505153496,Starter / Snack
Bhindi Bhajee,2019,32,2019-08-05,2.970178571428572,Starter / Snack
Bhuna,2019,32,2019-08-05,5.3225,Main - Curry
Bhuna - Chicken,2019,32,2019-08-05,3.021464285714286,Main - Curry
Bhuna - Chicken Tikka,2019,32,2019-08-05,1.8554523809523809,Main - Curry
Bhuna - King Prawn,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Bhuna - Lamb,2019,32,2019-08-05,2.5882338494838497,Main - Curry
Bhuna - Prawn,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Bombay Aloo,2019,32,2019-08-05,15.47,Other
Bottle Coke,2019,32,2019-08-05,2.5882338494838497,Drink
Bottle Diet Coke,2019,32,2019-08-05,1.6477874031713042,Drink
Brinjal Bhajee,2019,32,2019-08-05,1.6477874031713042,Starter / Snack
Butter Chicken,2019,32,2019-08-05,3.7825,Main - Curry
COBRA ( LARGE ),2019,32,2019-08-05,1.6358333333333337,Drink
COBRA (330ML),2019,32,2019-08-05,1.8553433505153496,Drink
COBRA (660ML),2019,32,2019-08-05,1.5995,Drink
Cauliflower Bhajee,2019,32,2019-08-05,3.021464285714286,Starter / Snack
Chana Masala,2019,32,2019-08-05,1.6477874031713042,Main - Curry
Chapati,2019,32,2019-08-05,12.97,Side - Bread
Chicken Achar,2019,32,2019-08-05,1.8553433505153496,Other
Chicken Balti,2019,32,2019-08-05,4.717190476190476,Main - Curry
Chicken Biryani,2019,32,2019-08-05,6.552500000000001,Main - Biryani
Chicken Chaat,2019,32,2019-08-05,2.3619803391053398,Starter / Snack
Chicken Chaat Main,2019,32,2019-08-05,1.229339615790777,Starter / Snack
Chicken Chilli Garlic,2019,32,2019-08-05,2.95,Other
Chicken Hari Mirch,2019,32,2019-08-05,1.9206002886002889,Main - Curry
Chicken Haryali,2019,32,2019-08-05,1.6477874031713042,Main - Curry
Chicken Karahi,2019,32,2019-08-05,2.1115158730158727,Main - Curry
Chicken Mysore,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Chicken Pakora,2019,32,2019-08-05,5.95,Starter / Snack
Chicken Rezala,2019,32,2019-08-05,1.6477874031713042,Main - Curry
Chicken Roshni,2019,32,2019-08-05,2.3619803391053398,Main - Curry
Chicken Shashlick,2019,32,2019-08-05,1.5995,Main - Tandoori / Grill
Chicken Shashlick Curry,2019,32,2019-08-05,1.6477874031713042,Main - Tandoori / Grill
Chicken Sylhet,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Chicken Tikka,2019,32,2019-08-05,5.1,Other
Chicken Tikka (Main),2019,32,2019-08-05,3.983,Other
Chicken Tikka Balti,2019,32,2019-08-05,1.8554523809523809,Main - Curry
Chicken Tikka Biryani,2019,32,2019-08-05,4.4335,Main - Biryani
Chicken Tikka Chilli Masala,2019,32,2019-08-05,1.8554523809523809,Main - Curry
Chicken Tikka Garlic,2019,32,2019-08-05,1.8553433505153496,Other
Chicken Tikka Jalfrezi,2019,32,2019-08-05,3.681666666666666,Main - Curry
Chicken Tikka Jeera,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Chicken Tikka Karahi,2019,32,2019-08-05,2.1115158730158727,Main - Curry
Chicken Tikka Masala,2019,32,2019-08-05,18.28,Main - Curry
Chicken Tikka Pasanda,2019,32,2019-08-05,2.970178571428572,Main - Curry
Chicken Tikka Sizzler,2019,32,2019-08-05,1.8553433505153496,Main - Tandoori / Grill
Coke 1.5 ltr,2019,32,2019-08-05,1.5780016650016648,Drink
Curry,2019,32,2019-08-05,4.57,Other
Curry - Chicken,2019,32,2019-08-05,4.0525,Other
Curry - Chicken Tikka,2019,32,2019-08-05,1.8553433505153496,Other
Curry - King Prawn,2019,32,2019-08-05,1.8553433505153496,Other
Curry - Lamb,2019,32,2019-08-05,2.3619803391053398,Other
Curry - Prawn,2019,32,2019-08-05,1.5780016650016648,Other
Curry Sauce,2019,32,2019-08-05,1.5780016650016648,Side - Accompaniment
Dall Samba,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Dhansak,2019,32,2019-08-05,3.065833333333334,Main - Curry
Dhansak - Chicken,2019,32,2019-08-05,2.5882338494838497,Main - Curry
Dhansak - Chicken Tikka,2019,32,2019-08-05,1.8553433505153496,Main - Curry
Dhansak - King Prawn,2019,32,2019-08-05,2.970178571428572,Main - Curry
Dhansak - Lamb,2019,32,2019-08-05,1.5780016650016648,Main - Curry
Dhansak - Prawn,2019,32,2019-08-05,1.8553433505153496,Main - Curry
