Rule_ID,Raw_Text,Antecedent_Text
1,"frozenset({'Onion Chutney', 'Mint Sauce'}),""frozenset({'Plain Papadum', 'Red Sauce', 'Mango Chutney'})"",0.035828916921698886,0.020377696499216242,0.010002239307307606,0.2791666666666667,13.699618437118438,0.009272128512381593,1.3590136002323012,0.9614530891258655",Onion Chutney + Mint Sauce
2,"frozenset({'Plain Papadum', 'Red Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Mint Sauce'})"",0.020377696499216242,0.035828916921698886,0.010002239307307606,0.4908424908424908,13.699618437118437,0.009272128512381593,1.8936597530962318,0.9462884450044808",Plain Papadum + Red Sauce + Mango Chutney
3,"frozenset({'Onion Chutney', 'Plain Papadum', 'Mint Sauce'}),""frozenset({'Red Sauce', 'Mango Chutney'})"",0.031126371575725908,0.02515488542210943,0.010002239307307606,0.3213429256594724,12.774573219762468,0.009219258996714217,1.43643255398933,0.9513309799231884",Onion Chutney + Plain Papadum + Mint Sauce
4,"frozenset({'Red Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Plain Papadum', 'Mint Sauce'})"",0.02515488542210943,0.031126371575725908,0.010002239307307606,0.3976261127596439,12.774573219762468,0.009219258996714217,1.6084256787141888,0.9455035313478548",Red Sauce + Mango Chutney
5,"frozenset({'Plain Papadum', 'Red Sauce'}),""frozenset({'Onion Chutney', 'Mint Sauce', 'Mango Chutney'})"",0.03784429349854445,0.02261700380682242,0.010002239307307606,0.26429980276134124,11.685889298989071,0.00914631477718452,1.3285071824931396,0.9503936871113786",Plain Papadum + Red Sauce
6,"frozenset({'Onion Chutney', 'Mint Sauce', 'Mango Chutney'}),""frozenset({'Plain Papadum', 'Red Sauce'})"",0.02261700380682242,0.03784429349854445,0.010002239307307606,0.44224422442244227,11.685889298989071,0.00914631477718452,1.7250483968635564,0.9355868815385422",Onion Chutney + Mint Sauce + Mango Chutney
7,"frozenset({'Red Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Mint Sauce'})"",0.02515488542210943,0.035828916921698886,0.010524744345749048,0.4183976261127596,11.677652077151334,0.009623472045785435,1.6577839540683033,0.9379606399270145",Red Sauce + Mango Chutney
8,"frozenset({'Onion Chutney', 'Mint Sauce'}),""frozenset({'Red Sauce', 'Mango Chutney'})"",0.035828916921698886,0.02515488542210943,0.010524744345749048,0.29375,11.677652077151334,0.009623472045785435,1.38031166665896,0.9483445039441672",Onion Chutney + Mint Sauce
9,"frozenset({'Plain Papadum', 'Red Sauce'}),""frozenset({'Onion Chutney', 'Mint Sauce'})"",0.03784429349854445,0.035828916921698886,0.015078002537881616,0.3984220907297831,11.120126561472716,0.013722082490161878,1.6027368495760612,0.9458686985843658",Plain Papadum + Red Sauce
10,"frozenset({'Onion Chutney', 'Mint Sauce'}),""frozenset({'Plain Papadum', 'Red Sauce'})"",0.035828916921698886,0.03784429349854445,0.015078002537881616,0.4208333333333334,11.120126561472716,0.013722082490161878,1.6612760400025133,0.9438915789078328",Onion Chutney + Mint Sauce
11,"frozenset({'Onion Chutney', 'Plain Papadum'}),""frozenset({'Red Sauce', 'Mint Sauce', 'Mango Chutney'})"",0.0582966335746809,0.015675151153243264,0.010002239307307606,0.17157490396927016,10.945661849887202,0.009088430764299247,1.1881881096589135,0.9648894083797879",Onion Chutney + Plain Papadum
12,"frozenset({'Red Sauce', 'Mint Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Plain Papadum'})"",0.015675151153243264,0.0582966335746809,0.010002239307307606,0.638095238095238,10.9456618498872,0.009088430764299247,2.6020750914383814,0.9231094848046866",Red Sauce + Mint Sauce + Mango Chutney
13,"frozenset({'Red Sauce', 'Mint Sauce'}),""frozenset({'Onion Chutney', 'Plain Papadum', 'Mango Chutney'})"",0.02679704411435396,0.03679928342166157,0.010002239307307606,0.3732590529247911,10.143106555848735,0.009016127286080727,1.53684025445166,0.926231131503092",Red Sauce + Mint Sauce
14,"frozenset({'Onion Chutney', 'Plain Papadum', 'Mango Chutney'}),""frozenset({'Red Sauce', 'Mint Sauce'})"",0.03679928342166157,0.02679704411435396,0.010002239307307606,0.27180527383367137,10.143106555848734,0.009016127286080727,1.3364597695031295,0.9358494647037597",Onion Chutney + Plain Papadum + Mango Chutney
15,"frozenset({'Plain Papadum', 'Red Sauce', 'Mint Sauce'}),""frozenset({'Onion Chutney', 'Mango Chutney'})"",0.023139508845263865,0.04366649249832052,0.010002239307307606,0.432258064516129,9.899079128756549,0.00899181811790107,1.684451064349549,0.9202752189993716",Plain Papadum + Red Sauce + Mint Sauce
16,"frozenset({'Onion Chutney', 'Mango Chutney'}),""frozenset({'Plain Papadum', 'Red Sauce', 'Mint Sauce'})"",0.04366649249832052,0.023139508845263865,0.010002239307307606,0.22905982905982905,9.899079128756547,0.00899181811790107,1.2671028543803118,0.9400282384518245",Onion Chutney + Mango Chutney
17,"frozenset({'Onion Chutney', 'Plain Papadum', 'Mint Sauce'}),frozenset({'Red Sauce'}),0.031126371575725908,0.049637978651937004,0.015078002537881616,0.48441247002398086,9.758908061520708,0.013532952370093474,1.843260292568104,0.9263638652000793",Onion Chutney + Plain Papadum + Mint Sauce
18,"frozenset({'Red Sauce'}),""frozenset({'Onion Chutney', 'Plain Papadum', 'Mint Sauce'})"",0.049637978651937004,0.031126371575725908,0.015078002537881616,0.3037593984962406,9.758908061520708,0.013532952370093474,1.3915787535683417,0.9444080246855976",Red Sauce
19,"frozenset({'Mint Sauce', 'Red Sauce'}),""frozenset({'Onion Chutney', 'Plain Papadum'})"",0.02679704411435396,0.0582966335746809,0.015078002537881616,0.5626740947075209,9.651914016384966,0.013515825076262564,2.153321710488469,0.9210757131856766",Mint Sauce + Red Sauce
20,"frozenset({'Onion Chutney', 'Plain Papadum'}),""frozenset({'Mint Sauce', 'Red Sauce'})"",0.0582966335746809,0.02679704411435396,0.015078002537881616,0.2586427656850192,9.651914016384964,0.013515825076262564,1.3127314482671668,0.9518853161473407",Onion Chutney + Plain Papadum
21,"frozenset({'Onion Chutney', 'Plain Papadum', 'Mint Sauce', 'Mango Chutney'}),frozenset({'Red Sauce'}),0.021049488691498097,0.049637978651937004,0.010002239307307606,0.475177304964539,9.572857676105157,0.008957385237004834,1.8108249325686065,0.9147939297033704",Onion Chutney + Plain Papadum + Mint Sauce + Mango Chutney
22,"frozenset({'Red Sauce'}),""frozenset({'Onion Chutney', 'Plain Papadum', 'Mint Sauce', 'Mango Chutney'})"",0.049637978651937004,0.021049488691498097,0.010002239307307606,0.2015037593984962,9.572857676105155,0.008957385237004834,1.2259926365727942,0.9423124715723924",Red Sauce
23,"frozenset({'Onion Chutney', 'Plain Papadum', 'Red Sauce'}),""frozenset({'Mint Sauce', 'Mango Chutney'})"",0.01948197357617377,0.05374337538254833,0.010002239307307606,0.5134099616858238,9.552990634312474,0.008955212288210411,1.944669126182322,0.9131099223735161",Onion Chutney + Plain Papadum + Red Sauce
24,"frozenset({'Mint Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Plain Papadum', 'Red Sauce'})"",0.05374337538254833,0.01948197357617377,0.010002239307307606,0.18611111111111112,9.552990634312472,0.008955212288210411,1.2047320461180118,0.946171171436342",Mint Sauce + Mango Chutney
25,"frozenset({'Onion Chutney', 'Mint Sauce', 'Mango Chutney'}),frozenset({'Red Sauce'}),0.02261700380682242,0.049637978651937004,0.010524744345749048,0.46534653465346537,9.374808307898459,0.00940208199361522,1.7775289658547104,0.9140031653282809",Onion Chutney + Mint Sauce + Mango Chutney
26,"frozenset({'Red Sauce'}),""frozenset({'Onion Chutney', 'Mint Sauce', 'Mango Chutney'})"",0.049637978651937004,0.02261700380682242,0.010524744345749048,0.2120300751879699,9.374808307898459,0.00940208199361522,1.2403810924970669,0.9399903743958931",Red Sauce
27,"frozenset({'Onion Chutney', 'Mint Sauce'}),frozenset({'Red Sauce'}),0.035828916921698886,0.049637978651937004,0.016421586922445323,0.45833333333333337,9.233521303258145,0.01464311190916401,1.7545145009502703,0.9248347843222814",Onion Chutney + Mint Sauce
28,"frozenset({'Red Sauce'}),""frozenset({'Onion Chutney', 'Mint Sauce'})"",0.049637978651937004,0.035828916921698886,0.016421586922445323,0.3308270676691729,9.233521303258145,0.01464311190916401,1.4408399331394837,0.9382729271984691",Red Sauce
29,"frozenset({'Plain Papadum', 'Red Sauce', 'Mint Sauce', 'Mango Chutney'}),frozenset({'Onion Chutney'}),0.014182279614839144,0.07703217138165261,0.010002239307307606,0.7052631578947368,9.155436556507548,0.008909747513434799,3.1314979899551068,0.9035902489521048",Plain Papadum + Red Sauce + Mint Sauce + Mango Chutney
30,"frozenset({'Onion Chutney'}),""frozenset({'Plain Papadum', 'Red Sauce', 'Mint Sauce', 'Mango Chutney'})"",0.07703217138165261,0.014182279614839144,0.010002239307307606,0.1298449612403101,9.155436556507548,0.008909747513434799,1.1329219236497616,0.9651206160865708",Onion Chutney
31,"frozenset({'Red Sauce', 'Mint Sauce'}),""frozenset({'Onion Chutney', 'Mango Chutney'})"",0.02679704411435396,0.04366649249832052,0.010524744345749048,0.39275766016713093,8.994486108135133,0.009354611419952447,1.5748794917114814,0.9132943637746291",Red Sauce + Mint Sauce
32,"frozenset({'Onion Chutney', 'Mango Chutney'}),""frozenset({'Red Sauce', 'Mint Sauce'})"",0.04366649249832052,0.02679704411435396,0.010524744345749048,0.24102564102564103,8.994486108135133,0.009354611419952447,1.2822606513358175,0.929404614025415",Onion Chutney + Mango Chutney
33,"frozenset({'Onion Chutney', 'Red Sauce'}),""frozenset({'Plain Papadum', 'Mint Sauce', 'Mango Chutney'})"",0.02455773680674778,0.04650294842128835,0.010002239307307606,0.4072948328267477,8.758473315216596,0.00886023213923984,1.6087206665097238,0.9081263791236655",Onion Chutney + Red Sauce
34,"frozenset({'Plain Papadum', 'Mint Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Red Sauce'})"",0.04650294842128835,0.02455773680674778,0.010002239307307606,0.21508828250401285,8.758473315216596,0.00886023213923984,1.2427413700805645,0.9290273620156614",Plain Papadum + Mint Sauce + Mango Chutney
35,"frozenset({'Red Sauce', 'Mint Sauce', 'Mango Chutney'}),frozenset({'Onion Chutney'}),0.015675151153243264,0.07703217138165261,0.010524744345749048,0.6714285714285714,8.716209856035437,0.009317253415679103,2.8090325218819263,0.899368978797623",Red Sauce + Mint Sauce + Mango Chutney
36,"frozenset({'Onion Chutney'}),""frozenset({'Red Sauce', 'Mint Sauce', 'Mango Chutney'})"",0.07703217138165261,0.015675151153243264,0.010524744345749048,0.13662790697674418,8.716209856035437,0.009317253415679103,1.140093427620486,0.9591571955846547",Onion Chutney
37,"frozenset({'Onion Chutney'}),""frozenset({'Plain Papadum', 'Mint Sauce', 'Red Sauce'})"",0.07703217138165261,0.023139508845263865,0.015078002537881616,0.19573643410852715,8.458970992748187,0.013295515926825983,1.2146024420140815,0.9553770823908109",Onion Chutney
38,"frozenset({'Plain Papadum', 'Mint Sauce', 'Red Sauce'}),frozenset({'Onion Chutney'}),0.023139508845263865,0.07703217138165261,0.015078002537881616,0.6516129032258065,8.458970992748187,0.013295515926825983,2.6492595080711823,0.9026696434448213",Plain Papadum + Mint Sauce + Red Sauce
39,"frozenset({'Onion Chutney', 'Red Sauce', 'Mango Chutney'}),""frozenset({'Plain Papadum', 'Mint Sauce'})"",0.014704784653280584,0.08083899380458312,0.010002239307307606,0.6802030456852792,8.414293816293338,0.008813519311823328,2.8742018765158277,0.8943051786521937",Onion Chutney + Red Sauce + Mango Chutney
40,"frozenset({'Plain Papadum', 'Mint Sauce'}),""frozenset({'Onion Chutney', 'Red Sauce', 'Mango Chutney'})"",0.08083899380458312,0.014704784653280584,0.010002239307307606,0.12373037857802399,8.414293816293338,0.008813519311823328,1.1244201456485743,0.9586509954692995",Plain Papadum + Mint Sauce
41,"frozenset({'Onion Chutney', 'Plain Papadum'}),""frozenset({'Red Sauce', 'Mango Chutney'})"",0.0582966335746809,0.02515488542210943,0.01179368515339255,0.2023047375160051,8.042363704753473,0.010327240015326755,1.2220771019026204,0.9298665347599592",Onion Chutney + Plain Papadum
42,"frozenset({'Red Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Plain Papadum'})"",0.02515488542210943,0.0582966335746809,0.01179368515339255,0.4688427299703264,8.042363704753473,0.010327240015326755,1.7729275669571651,0.8982539205613818",Red Sauce + Mango Chutney
