Item_Name,Year,Week,Date,Value,Category
Saag - Lamb,2019,38,2019-09-16,1.855071486520016,Main - Curry
Saag - Prawn,2019,38,2019-09-16,1.855071486520016,Main - Curry
Saag Aloo,2019,38,2019-09-16,3.755166666666667,Main - Curry
Saag Bhajee,2019,38,2019-09-16,1.855071486520016,Starter / Snack
Saag Dall,2019,38,2019-09-16,1.855071486520016,Main - Curry
Saag Paneer,2019,38,2019-09-16,6.101666666666668,Main - Curry
Saag Rice,2019,38,2019-09-16,1.855071486520016,Side - Rice
Sheek Kebab,2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Sheek Kebab (Main),2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Sheek Kebab,2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Special Fried Rice,2019,38,2019-09-16,6.057833333333333,Side - Rice
Spicy Papadum,2019,38,2019-09-16,19.53666666666667,Starter / Snack
Still Water (750ml),2019,38,2019-09-16,1.855071486520016,Drink
Stuffed Paratha,2019,38,2019-09-16,1.855071486520016,Side - Bread
Tandoori Chicken,2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori Chicken (1/4),2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori Chicken (Main),2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori Chicken Masala,2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori Fish,2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori Fish (Main),2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori King Prawn Garlic,2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori King Prawn Masala,2019,38,2019-09-16,1.855071486520016,Main - Tandoori / Grill
Tandoori Mixed Grill,2019,38,2019-09-16,4.681666666666667,Main - Tandoori / Grill
Tandoori Roti,2019,38,2019-09-16,1.855071486520016,Side - Bread
Tarka Dall,2019,38,2019-09-16,3.755166666666667,Other
Vegetable Balti,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vegetable Biryani,2019,38,2019-09-16,5.857666666666668,Main - Biryani
Vegetable Karahi,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vegetable Mysore,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vegetable Rice,2019,38,2019-09-16,1.855071486520016,Side - Rice
Vegetable Roll,2019,38,2019-09-16,1.855071486520016,Starter / Snack
Vegetable Samosa,2019,38,2019-09-16,6.265,Starter / Snack
Vindaloo,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vindaloo - Chicken,2019,38,2019-09-16,5.857666666666668,Main - Curry
Vindaloo - Chicken Tikka,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vindaloo - King Prawn,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vindaloo - Lamb,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vindaloo - Prawn,2019,38,2019-09-16,1.855071486520016,Main - Curry
Vindaloo Sauce,2019,38,2019-09-16,1.855071486520016,Side - Accompaniment
Aloo Chaat,2019,39,2019-09-23,4.700333333333334,Starter / Snack
Aloo Gobi,2019,39,2019-09-23,4.814666666666667,Other
Aloo Methi,2019,39,2019-09-23,1.5957724497724497,Main - Curry
